Date,Open Balances,Closed,New Cases
2023-01-01,3315,5,345
2023-01-02,3655,14,588
2023-01-03,4229,501,867
2023-01-04,4348,526,819
2023-01-05,4621,531,778
2023-01-06,4762,527,686
2023-01-07,4921,389,289
2023-01-08,4821,301,258
2023-01-09,4466,654,662
2023-01-10,4422,854,655
2023-01-11,3959,733,698
2023-01-12,3803,671,661
2023-01-13,3745,567,536
2023-01-14,3714,333,289
2023-01-15,3670,189,219
2023-01-16,3202,495,588
2023-01-17,3204,635,573
2023-01-18,3120,588,539
2023-01-19,2659,569,543
2023-01-20,2775,330,587
2023-01-21,2482,179,20
2023-01-22,2641,94,0
2023-01-23,2735,165,11
2023-01-24,2889,211,5
2023-01-25,3095,508,539
2023-01-26,2962,571,558
2023-01-27,2946,500,597
2023-01-28,3038,4,243
2023-01-29,3281,1,196
2023-01-30,3477,644,682
2023-01-31,3477,685,631
2023-02-01,3054,573,727
2023-02-02,3282,574,672
2023-02-03,2857,573,523
2023-02-04,2807,0,242
2023-02-05,3049,0,209
2023-02-06,3145,617,601
2023-02-07,2948,592,599
2023-02-08,2907,515,509
2023-02-09,2746,589,838
2023-02-10,2830,634,853
2023-02-11,3049,0,308
2023-02-12,3357,0,365
2023-02-13,3394,588,719
2023-02-14,3340,642,694
2023-02-15,3565,681,726
2023-02-16,3488,674,736
2023-02-17,3391,663,620
2023-02-18,3348,2,280
2023-02-19,3626,7,275
2023-02-20,3786,568,590
2023-02-21,3624,593,655
2023-02-22,3596,507,523
2023-02-23,3505,552,509
2023-02-24,3153,494,496
2023-02-25,3155,18,219
2023-02-26,3356,27,222
2023-02-27,3291,502,552
2023-02-28,2884,493,576
2023-03-01,3130,419,508
2023-03-02,3094,439,569
2023-03-03,3140,571,471
2023-03-04,3040,27,222
2023-03-05,3235,8,238
2023-03-06,3351,561,590
2023-03-07,3228,562,672
2023-03-08,3218,390,767
2023-03-09,3484,711,810
2023-03-10,3463,629,699
2023-03-11,3533,12,270
2023-03-12,3791,6,255
2023-03-13,3834,611,610
2023-03-14,3719,655,657
2023-03-15,3425,664,574
2023-03-16,3202,525,611
2023-03-17,3205,628,520
2023-03-18,3097,27,218
2023-03-19,3288,1,225
2023-03-20,3394,509,571
2023-03-21,3420,574,599
2023-03-22,3312,582,541
2023-03-23,3168,480,497
2023-03-24,3115,512,482
2023-03-25,3288,16,189
2023-03-26,3477,0,189
2023-03-27,3260,531,539
2023-03-28,3246,489,579
2023-03-29,3220,504,513
2023-03-30,3086,507,441
2023-03-31,2703,381,439
2023-04-01,2761,4,220
2023-04-02,2977,2,204
2023-04-03,2993,509,508
2023-04-04,3140,580,506
2023-04-05,2992,488,535
2023-04-06,3117,448,522
2023-04-07,3191,0,228
2023-04-08,3419,0,170
2023-04-09,3589,10,164
2023-04-10,3692,648,560
2023-04-11,3637,726,490
2023-04-12,3191,563,534
2023-04-13,3021,553,500
2023-04-14,2870,578,480
2023-04-15,2772,0,231
2023-04-16,3003,2,208
2023-04-17,3137,524,525
2023-04-18,3039,564,515
2023-04-19,2903,547,493
2023-04-20,2711,570,479
2023-04-21,2480,486,392
2023-04-22,2386,9,165
2023-04-23,2542,1,181
2023-04-24,2603,467,456
2023-04-25,2532,498,519
2023-04-26,2479,454,511
2023-04-27,2457,442,434
2023-04-28,2341,460,433
2023-04-29,2314,9,195
2023-04-30,2500,1,127
2023-05-01,2484,0,216
2023-05-02,2700,495,516
2023-05-03,2698,501,484
2023-05-04,2464,415,441
2023-05-05,2516,412,464
2023-05-06,2568,9,216
2023-05-07,2754,1,187
2023-05-08,2831,513,517
2023-05-09,2736,445,493
2023-05-10,2688,492,500
2023-05-11,2481,462,466
2023-05-12,2332,525,445
2023-05-13,2252,10,215
2023-05-14,2457,1,184
2023-05-15,2494,506,485
2023-05-16,2345,487,443
2023-05-17,2107,458,462
