Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup,,,,,,,,,,,,,,,,,,
18-Dec (Sun),22,0,29,0,0,0,,,,,,,,,,,,,,,,,,
19-Dec (Mon),30,0,20,0,0,0,,,,,,,,,,,,,,,,,,
20-Dec (Tue),28,0,30,0,0,0,,,,,,,,,,,,,,,,,,
21-Dec (Wed),26,0,35,0,0,0,,,,,,,,,,,,,,,,,,
22-Dec (Thu),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
23-Dec (Fri),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
24-Dec (Sat),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
25-Dec (Sun),0,0,37,0,0,0,,,,,,,,,,,,,,,,,,
26-Dec (Mon),2,0,32,0,0,0,,,,,,,,,,,,,,,,,,
27-Dec (Tue),29,0,27,0,0,0,,,,,,,,,,,,,,,,,,
28-Dec (Wed),30,0,19,0,0,0,,,,,,,,,,,,,,,,,,
29-Dec (Thu),26,0,17,0,0,0,,,,,,,,,,,,,,,,,,
30-Dec (Fri),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
31-Dec (Sat),3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1-Jan (Sun),5,0,19,0,0,0,,,,,,,,,,,,,,,,,,
2-Jan (Mon),14,0,33,0,0,0,,,,,,,,,,,,,,,,,,
3-Jan (Tue),31,0,39,0,0,0,,,,,,,,,,,,,,,,,,
4-Jan (Wed),30,0,25,0,0,0,,,,,,,,,,,,,,,,,,
5-Jan (Thu),27,0,13,0,0,0,,,,,,,,,,,,,,,,,,
6-Jan (Fri),27,0,24,0,0,0,,,,,,,,,,,,,,,,,,
7-Jan (Sat),25,0,38,0,0,0,,,,,,,,,,,,,,,,,,
8-Jan (Sun),23,0,45,0,0,0,,,,,,,,,,,,,,,,,,
9-Jan (Mon),36,0,37,0,0,0,,,,,,,,,,,,,,,,,,
10-Jan (Tue),42,0,33,0,0,0,,,,,,,,,,,,,,,,,,
11-Jan (Wed),42,0,35,0,0,0,,,,,,,,,,,,,,,,,,
12-Jan (Thu),36,0,25,0,0,0,,,,,,,,,,,,,,,,,,
13-Jan (Fri),32,0,16,0,0,0,,,,,,,,,,,,,,,,,,
14-Jan (Sat),24,0,39,0,0,0,,,,,,,,,,,,,,,,,,
15-Jan (Sun),23,0,32,0,0,0,,,,,,,,,,,,,,,,,,
16-Jan (Mon),32,0,33,0,0,0,,,,,,,,,,,,,,,,,,
17-Jan (Tue),35,0,31,43,0,0,,,,,,,,,,,,,,,,,,
18-Jan (Wed),33,0,37,48,0,0,,,,,,,,,,,,,,,,,,
19-Jan (Thu),32,0,0,44,0,0,,,,,,,,,,,,,,,,,,
20-Jan (Fri),36,0,0,69,0,0,,,,,,,,,,,,,,,,,,
21-Jan (Sat),20,0,0,0,0,0,,,,,,,,,,,,,,,,,,
22-Jan (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
23-Jan (Mon),11,0,32,0,0,0,,,,,,,,,,,,,,,,,,
24-Jan (Tue),5,0,35,0,0,0,,,,,,,,,,,,,,,,,,
25-Jan (Wed),29,0,40,36,0,0,,,,,,,,,,,,,,,,,,
26-Jan (Thu),32,0,9,38,0,0,,,,,,,,,,,,,,,,,,
27-Jan (Fri),28,0,15,25,0,0,,,,,,,,,,,,,,,,,,
28-Jan (Sat),4,0,38,0,0,0,,,,,,,,,,,,,,,,,,
29-Jan (Sun),1,0,37,0,0,0,,,,,,,,,,,,,,,,,,
30-Jan (Mon),29,0,40,77,0,0,,,,,,,,,,,,,,,,,,
31-Jan (Tue),33,0,29,82,0,0,,,,,,,,,,,,,,,,,,
1-Feb (Wed),27,0,33,37,0,0,,,,,,,,,,,,,,,,,,
2-Feb (Thu),30,0,0,48,0,0,,,,,,,,,,,,,,,,,,
3-Feb (Fri),33,0,0,54,0,0,,,,,,,,,,,,,,,,,,
4-Feb (Sat),0,0,42,0,0,0,,,,,,,,,,,,,,,,,,
5-Feb (Sun),0,0,39,0,0,0,,,,,,,,,,,,,,,,,,
6-Feb (Mon),32,0,25,67,0,0,,,,,,,,,,,,,,,,,,
7-Feb (Tue),33,0,25,63,0,0,,,,,,,,,,,,,,,,,,
8-Feb (Wed),28,0,21,51,0,0,,,,,,,,,,,,,,,,,,
9-Feb (Thu),34,0,0,0,0,0,,,,,,,,,,,,,,,,,,
10-Feb (Fri),41,0,0,0,0,0,,,,,,,,,,,,,,,,,,
11-Feb (Sat),0,0,15,0,0,0,,,,,,,,,,,,,,,,,,
12-Feb (Sun),0,0,16,0,0,0,,,,,,,,,,,,,,,,,,
13-Feb (Mon),32,0,26,0,0,0,,,,,,,,,,,,,,,,,,
14-Feb (Tue),31,0,15,0,0,0,,,,,,,,,,,,,,,,,,
15-Feb (Wed),32,0,4,0,0,0,,,,,,,,,,,,,,,,,,
16-Feb (Thu),35,0,0,0,0,0,,,,,,,,,,,,,,,,,,
17-Feb (Fri),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
18-Feb (Sat),2,0,10,0,0,0,,,,,,,,,,,,,,,,,,
19-Feb (Sun),7,0,26,0,0,0,,,,,,,,,,,,,,,,,,
20-Feb (Mon),38,0,23,0,0,0,,,,,,,,,,,,,,,,,,
21-Feb (Tue),31,0,13,0,0,0,,,,,,,,,,,,,,,,,,
22-Feb (Wed),35,0,24,0,0,0,,,,,,,,,,,,,,,,,,
23-Feb (Thu),35,0,0,0,0,0,,,,,,,,,,,,,,,,,,
